Id,Position,First Name,Last Name,Expected Points,Salary,Team,Opponent
14190,WR,Julio,Jones,28.3,9400,ATL,HOU
6894,QB,Aaron,Rodgers,26.1,9200,GB,SF
21939,QB,Andrew,Luck,15.9,9100,IND,JAC
31360,WR,Odell,Beckham Jr.,16.1,9100,NYG,BUF
6703,RB,Adrian,Peterson,16.5,9000,MIN,DEN
6728,RB,Jamaal,Charles,21.4,8700,KC,CIN
9371,RB,Marshawn,Lynch,8.5,8600,SEA,DET
11432,WR,Demaryius,Thomas,14.3,8500,DEN,MIN
14187,WR,A.J.,Green,20.2,8400,CIN,KC
6616,QB,Matt,Ryan,19.4,8400,ATL,HOU
6504,QB,Drew,Brees,15.3,8400,NO,DAL
14185,QB,Cam,Newton,23.9,8300,CAR,TB
6899,RB,Matt,Forte,15,8300,CHI,OAK
22015,QB,Russell,Wilson,18.5,8200,SEA,DET
14257,WR,Randall,Cobb,19.9,8200,GB,SF
6661,QB,Peyton,Manning,15.7,8200,DEN,MIN
6748,QB,Carson,Palmer,22.5,8200,ARI,STL
6655,WR,Calvin,Johnson,12,8100,DET,SEA
14211,RB,Mark,Ingram,15.3,8100,NO,DAL
10777,RB,Arian,Foster,19.6,8000,HOU,ATL
16606,WR,DeAndre,Hopkins,18.7,7900,HOU,ATL
11505,WR,Emmanuel,Sanders,15.6,7900,DEN,MIN
6826,QB,Eli,Manning,15.9,7800,NYG,BUF
30968,RB,Eddie,Lacy,9.3,7800,GB,SF
29253,WR,Keenan,Allen,18.7,7700,SD,CLE
21980,WR,Alshon,Jeffery,10.3,7600,CHI,OAK
14225,QB,Andy,Dalton,23.9,7600,CIN,KC
14254,RB,DeMarco,Murray,12,7600,PHI,WAS
